NUTS_3_2013_CODE;NUTS_3_2010_CODE;LAU1_NAT_CODE;LAU2_NAT_CODE;CHANGE;NAME_1;NAME_2_LAT;POP;AREA;DEGURBA
FR102;FR102;7703;77003;no;Amponville;Amponville;385;12300000;3
FR102;FR102;7703;77041;no;Boissy-aux-Cailles;Boissy-aux-Cailles;315;16400000;3
FR102;FR102;7703;77046;no;Boulancourt;Boulancourt;366;6440000;3
FR102;FR102;7703;77056;no;Burcy;Burcy;148;7030000;3
FR102;FR102;7703;77060;no;Buthiers;Buthiers;755;19670000;3
FR102;FR102;7703;77088;no;La Chapelle-la-Reine;La Chapelle-la-Reine;2 596;15910000;3
FR102;FR102;7703;77198;no;Fromont;Fromont;218;10720000;3
FR102;FR102;7703;77220;no;Guercheville;Guercheville;285;9210000;3
FR102;FR102;7703;77244;no;Larchant;Larchant;742;29240000;3
FR102;FR102;7703;77328;no;Nanteau-sur-Essonne;Nanteau-sur-Essonne;427;12920000;3
FR102;FR102;7703;77339;no;Noisy-sur-École;Noisy-sur-École;2 012;29910000;3
FR102;FR102;7703;77386;no;Recloses;Recloses;699;9350000;3
FR102;FR102;7703;77395;no;Rumont;Rumont;125;6610000;3
FR102;FR102;7703;77471;no;Tousson;Tousson;367;13240000;3
FR102;FR102;7703;77477;no;Ury;Ury;797;8210000;3
FR102;FR102;7703;77485;no;Le Vaudoué;Le Vaudoué;748;17160000;3
FR102;FR102;7703;77520;no;Villiers-sous-Grez;Villiers-sous-Grez;750;12250000;3
FR102;FR102;7704;77009;no;Arville;Arville;132;11310000;3
FR102;FR102;7704;77011;no;Aufferville;Aufferville;551;17740000;3
FR102;FR102;7704;77027;no;Beaumont-du-Gâtinais;Beaumont-du-Gâtinais;1 164;16590000;3
FR102;FR102;7704;77045;no;Bougligny;Bougligny;721;16310000;3
FR102;FR102;7704;77050;no;Bransles;Bransles;505;13850000;3
FR102;FR102;7704;77071;no;Chaintreaux;Chaintreaux;902;23920000;3
FR102;FR102;7704;77099;no;Château-Landon;Château-Landon;3 112;29350000;3
FR102;FR102;7704;77110;no;Chenou;Chenou;302;13740000;3
FR102;FR102;7704;77207;no;Gironville;Gironville;179;13710000;3
FR102;FR102;7704;77230;no;Ichy;Ichy;164;7800000;3
FR102;FR102;7704;77267;no;La Madeleine-sur-Loing;La Madeleine-sur-Loing;337;6160000;3
FR102;FR102;7704;77271;no;Maisoncelles-en-Gâtinais;Maisoncelles-en-Gâtinais;138;8580000;3
FR102;FR102;7704;77297;no;Mondreville;Mondreville;364;20270000;3
