beneficiary,beneficiary_address,project_title,project_description,total_amount,status,funding_agency
AMS Burgenland,"7000 Eisenstadt, Permayerstr. 10",Bildungsmaßnahme - Qualifizierung,Bildungsmaßnahme: Modulare Aus- und Weiterbildung Schweißtechnik in Rudersdorf/Jennersdorf,60723.99,A,Arbeitsmarktservice Burgenland
AMS Burgenland,"7000 Eisenstadt, Permayerstr. 10",Bildungsmaßnahme - Qualifizierung,Bildungsmaßnahme: ECDL in Güssing,9169.7,A,Arbeitsmarktservice Burgenland
AMS Burgenland,"7000 Eisenstadt, Permayerstr. 10",Bildungsmaßnahme - Qualifizierung,Bildungsmaßnahme: Praxisbüro in Mattersburg,102701.24,A,Arbeitsmarktservice Burgenland
AMS Burgenland,"7000 Eisenstadt, Permayerstr. 10",Bildungsmaßnahme - Qualifizierung,Bildungsmaßnahme: Überbetriebliche Lehrausbildung Landschaftsgärtnerei mit Schwerpunkt Holz,53427.79,A,Arbeitsmarktservice Burgenland
AMS Burgenland,"7000 Eisenstadt, Permayerstr. 10",Bildungsmaßnahme - Qualifizierung,Bildungsmaßnahme: BaggerfahrerInnenkurs inkl. Praxis in Güssing,9565.64,A,Arbeitsmarktservice Burgenland
AMS Burgenland,"7000 Eisenstadt, Permayerstr. 10",Bildungsmaßnahme - Qualifizierung,Bildungsmaßnahme: EDV Bildungszentrum in Mattersburg,66758.66,A,Arbeitsmarktservice Burgenland
AMS Burgenland,"7000 Eisenstadt, Permayerstr. 10",Bildungsmaßnahme - Qualifizierung,Bildungsmaßnahme: BAG Lehrgang ÜBA 2 Handel/Verkauf in Oberwart,86920.12,A,Arbeitsmarktservice Burgenland
AMS Burgenland,"7000 Eisenstadt, Permayerstr. 10",Bildungsmaßnahme - Qualifizierung,Bildungsmaßnahme: Kaufmännische Übungsfirma in Oberwart (Verlängerung),150081.15,A,Arbeitsmarktservice Burgenland
AMS Burgenland,"7000 Eisenstadt, Permayerstr. 10",Bildungsmaßnahme - Qualifizierung,Bildungsmaßnahme: Modulares Schweissen im Bezirk Oberwart,246898.32,A,Arbeitsmarktservice Burgenland
AMS Burgenland,"7000 Eisenstadt, Permayerstr. 10",Bildungsmaßnahme - Qualifizierung,Bildungsmaßnahme: PflegehelferInnenausbildung in Oberwart,67145.89,A,Arbeitsmarktservice Burgenland
AMS Burgenland,"7000 Eisenstadt, Permayerstr. 10",Bildungsmaßnahme - Qualifizierung,Bildungsmaßnahme: Gebäude- und Installationstechnik/FiT Ökoenergietechnik/HelferInnenausbildung,314366.14,A,Arbeitsmarktservice Burgenland
AMS Burgenland,"7000 Eisenstadt, Permayerstr. 10",Bildungsmaßnahme - Qualifizierung,Bildungsmaßnahme: BAG Lehrgang in Eisenstadt,165202.35,A,Arbeitsmarktservice Burgenland
AMS Burgenland,"7000 Eisenstadt, Permayerstr. 10",Bildungsmaßnahme - Qualifizierung,Bildungsmaßnahme: BAG Lehrgang ÜBA 2 Produktions- und handwerkliche Berufe in Neusiedl,92649.89,A,Arbeitsmarktservice Burgenland
AMS Burgenland,"7000 Eisenstadt, Permayerstr. 10",Bildungsmaßnahme - Qualifizierung,Bildungsmaßnahme: BAG ÜBA 2 Metall- und sonstige Berufe in Jennersdorf,90325,A,Arbeitsmarktservice Burgenland
AMS Burgenland,"7000 Eisenstadt, Permayerstr. 10",Bildungsmaßnahme - Qualifizierung,Bildungsmaßnahme: BAG Lehrgang ÜBA 2 Handel/Verkauf in Neusiedl,44634.56,A,Arbeitsmarktservice Burgenland
AMS Burgenland,"7000 Eisenstadt, Permayerstr. 10",Bildungsmaßnahme - Qualifizierung,Bildungsmaßnahme: Überbetriebliche Lehrausbildung Prokuktionstechnik (ÜBA1) im Bezirk Oberwart,92156.44,A,Arbeitsmarktservice Burgenland
AMS Burgenland,"7000 Eisenstadt, Permayerstr. 10",Bildungsmaßnahme - Qualifizierung,Bildungsmaßnahme: BAG Integrative Berufsausbildung Dienstleistungsberufe in Eisenstadt,136136.75,A,Arbeitsmarktservice Burgenland
AMS Burgenland,"7000 Eisenstadt, Permayerstr. 10",Bildungsmaßnahme - Qualifizierung,Bildungsmaßnahme: Modulares EDV-Training in Neusiedl/See (Verlängerung),51495.73,A,Arbeitsmarktservice Burgenland
AMS Burgenland,"7000 Eisenstadt, Permayerstr. 10",Bildungsmaßnahme - Qualifizierung,Bildungsmaßnahme: Holzausbildungszentrum in Güssing,246048.15,A,Arbeitsmarktservice Burgenland
AMS Burgenland,"7000 Eisenstadt, Permayerstr. 10",Bildungsmaßnahme - Qualifizierung,Bildungsmaßnahme: Ausbildung zum/zur medizinischen MasseurIn in Oberwart,97608.64,A,Arbeitsmarktservice Burgenland
AMS Burgenland,"7000 Eisenstadt, Permayerstr. 10",Bildungsmaßnahme - Qualifizierung,Bildungsmaßnahme: Fachkurs Personalverrechnung in Mattersburg,8067.26,A,Arbeitsmarktservice Burgenland
AMS Burgenland,"7000 Eisenstadt, Permayerstr. 10",Bildungsmaßnahme - Qualifizierung,Bildungsmaßnahme: ÜBA 1 Mechatronik,136632.07,A,Arbeitsmarktservice Burgenland
AMS Burgenland,"7000 Eisenstadt, Permayerstr. 10",Bildungsmaßnahme - Qualifizierung,Bildungsmaßnahme: Modulare Aus- und Weiterbildung Schweißtechnik in Rudersdorf/Jennersdorf,92494.9,A,Arbeitsmarktservice Burgenland
AMS Burgenland,"7000 Eisenstadt, Permayerstr. 10",Bildungsmaßnahme - Qualifizierung,Bildungsmaßnahme: BAG Lehrgang ÜBA 2 Handel/Verkauf in Oberwart 1. LJ,67060.72,A,Arbeitsmarktservice Burgenland
AMS Burgenland,"7000 Eisenstadt, Permayerstr. 10",Bildungsmaßnahme - Qualifizierung,Bildungsmaßnahme: Holzausbildungszentrum in Güssing,338553.89,A,Arbeitsmarktservice Burgenland
AMS Burgenland,"7000 Eisenstadt, Permayerstr. 10",Bildungsmaßnahme - Qualifizierung,Bildungsmaßnahme: Modulares EDV-Training in Neusiedl/See,88793.27,A,Arbeitsmarktservice Burgenland
AMS Burgenland,"7000 Eisenstadt, Permayerstr. 10",Bildungsmaßnahme - Qualifizierung,Bildungsmaßnahme: Gebäude- und Installationstechnik/FiT Ökoenergietechnik/HelferInnenausbildung,310762.82,A,Arbeitsmarktservice Burgenland
AMS Burgenland,"7000 Eisenstadt, Permayerstr. 10",Bildungsmaßnahme - Qualifizierung,Bildungsmaßnahme: PflegehelferInnenausbildung in Jennersdorf,84173.86,A,Arbeitsmarktservice Burgenland
AMS Burgenland,"7000 Eisenstadt, Permayerstr. 10",Bildungsmaßnahme - Qualifizierung,Bildungsmaßnahme: PflegehelferInnenausbildung in Oberwart,70405.44,A,Arbeitsmarktservice Burgenland
AMS Burgenland,"7000 Eisenstadt, Permayerstr. 10",Bildungsmaßnahme - Qualifizierung,Bildungsmaßnahme: FIA Koch/Köchin in Güssing,75195.74,A,Arbeitsmarktservice Burgenland
AMS Burgenland,"7000 Eisenstadt, Permayerstr. 10",Bildungsmaßnahme - Qualifizierung,Bildungsmaßnahme: Kaufmännische Übungsfirma in Oberwart,143770.69,A,Arbeitsmarktservice Burgenland
AMS Burgenland,"7000 Eisenstadt, Permayerstr. 10",Bildungsmaßnahme - Qualifizierung,Bildungsmaßnahme: BAG Integrative Berufsausbildung Dienstleistungsberufe in Eisenstadt 2. LJ,138861.36,A,Arbeitsmarktservice Burgenland
AMS Burgenland,"7000 Eisenstadt, Permayerstr. 10",Bildungsmaßnahme - Qualifizierung,Bildungsmaßnahme: ÜBA 2 Garden and Flowers 1. LJ,95645,A,Arbeitsmarktservice Burgenland
AMS Burgenland,"7000 Eisenstadt, Permayerstr. 10",Bildungsmaßnahme - Qualifizierung,Bildungsmaßnahme: New Skills - Büro und Verwaltung in Eisenstadt,5000,A,Arbeitsmarktservice Burgenland
AMS Burgenland,"7000 Eisenstadt, Permayerstr. 10",Bildungsmaßnahme - Qualifizierung,Bildungsmaßnahme: Modulares Schweissen im Bezirk Oberwart,273437.76,A,Arbeitsmarktservice Burgenland
AMS Burgenland,"7000 Eisenstadt, Permayerstr. 10",Bildungsmaßnahme - Qualifizierung,Bildungsmaßnahme: New Skills - Büro und Verwaltung - Dialogmarketing in Neusiedl/See,49950,A,Arbeitsmarktservice Burgenland
AMS Burgenland,"7000 Eisenstadt, Permayerstr. 10",Bildungsmaßnahmen Training,Bildungsmaßnahme: Vermittlungshilfe Frauen in Güssing,68651.86,A,Arbeitsmarktservice Burgenland
AMS Burgenland,"7000 Eisenstadt, Permayerstr. 10",Bildungsmaßnahmen Training,Bildungsmaßnahme: Vermittlungshilfe Frauen in Oberwart,61849.32,A,Arbeitsmarktservice Burgenland
AMS Burgenland,"7000 Eisenstadt, Permayerstr. 10",Bildungsmaßnahmen Training,Bildungsmaßnahme: Vermittlungshilfe Frauen in Eisenstadt,45084.42,A,Arbeitsmarktservice Burgenland
AMS Burgenland,"7000 Eisenstadt, Permayerstr. 10",Bildungsmaßnahmen Training,Bildungsmaßnahme: Vermittlungshilfekurs für arbeitslose Jugendliche in Eisenstadt (Verlängerung),89455.01,A,Arbeitsmarktservice Burgenland
AMS Burgenland,"7000 Eisenstadt, Permayerstr. 10",BildungsmaßnahmeT,Bildungsmaßnahme: Vermittlungshilfe für Jugendliche in Güssing,90794.48,A,Arbeitsmarktservice Burgenland
AMS Burgenland,"7000 Eisenstadt, Permayerstr. 10",BildungsmaßnahmeT,Bildungsmaßnahme: Vermittlungshilfe Männer in Neusiedl,122480.15,A,Arbeitsmarktservice Burgenland
AMS Burgenland,"7000 Eisenstadt, Permayerstr. 10",BildungsmaßnahmeT,Bildungsmaßnahme: Vermittlungshilfe für Frauen in Neusiedl,97476.77,A,Arbeitsmarktservice Burgenland
AMS Burgenland,"7000 Eisenstadt, Permayerstr. 10",Bildungsmaßnahmen Orientierung,Bildungsmaßnahme: Berufsorientierung FIT in Eisenstadt,8486.29,A,Arbeitsmarktservice Burgenland
AMS Burgenland,"7000 Eisenstadt, Permayerstr. 10",Bildungsmaßnahmen Orientierung,Bildungsmaßnahme: Berufsorientierung FIT in Oberwart,7198.92,A,Arbeitsmarktservice Burgenland
AMS Burgenland,"7000 Eisenstadt, Permayerstr. 10",Bildungsmaßnahmen Orientierung,Bildungsmaßnahme: Berufsorientierung FIT im BUZ Neutal,11776.19,A,Arbeitsmarktservice Burgenland
AMS Burgenland,"7000 Eisenstadt, Permayerstr. 10",Bildungsmaßnahme - Orientierung,Bildungsmaßnahme: Wiedereinstieg mit Zukunft in Güssing 2,13740.82,A,Arbeitsmarktservice Burgenland
AMS Burgenland,"7000 Eisenstadt, Permayerstr. 10",Bildungsmaßnahme - Orientierung,Bildungsmaßnahme: Wiedereinstieg mit Zukunft in Güssing,11822.35,A,Arbeitsmarktservice Burgenland
AMS Burgenland,"7000 Eisenstadt, Permayerstr. 10",Bildungsmaßnahme - Orientierung,Bildungsmaßnahme: Wiedereinstieg mit Zukunft in Mattersburg,12152.05,A,Arbeitsmarktservice Burgenland
AMS Burgenland,"7000 Eisenstadt, Permayerstr. 10",Bildungsmaßnahme - Qualifizierung,Bildungsmaßnahme: FiT FIA Speditionslogistik in Oberwart,45104.93,A,Arbeitsmarktservice Burgenland
AMS Burgenland,"7000 Eisenstadt, Permayerstr. 10",Bildungsmaßnahme - Qualifizierung,Bildungsmaßnahme: FiT RAMPE - HOLZ in Güssing,37261.23,A,Arbeitsmarktservice Burgenland
AMS Burgenland,"7000 Eisenstadt, Permayerstr. 10",Bildungsmaßnahme - Qualifizierung,Bildungsmaßnahme: FiT Rampe-Techn.Grundwissen Verkauf Unterhaltungselektronik in Mattersburg,14089.79,A,Arbeitsmarktservice Burgenland
AMS Burgenland,"7000 Eisenstadt, Permayerstr. 10",Bildungsmaßnahme - Qualifizierung,Bildungsmaßnahme: FiT Rampe - FeM Frauen ergreifen Möglichkeiten in Jennersdorf,34003.92,A,Arbeitsmarktservice Burgenland
AMS Burgenland,"7000 Eisenstadt, Permayerstr. 10",Bildungsmaßnahme - Qualifizierung,Bildungsmaßnahme: FiT Rampe-Telekommunikation inkl.techn.Grundlagen der Mobiltelefonie in Oberp.,5800.56,A,Arbeitsmarktservice Burgenland
AMS Burgenland,"7000 Eisenstadt, Permayerstr. 10",Bildungsmaßnahme - Qualifizierung,Bildungsmaßnahme: FiT-RAMPE Techn.Grundwissen für Frauen-Verkauf Sportartikelhandel in Oberwart,13995.38,A,Arbeitsmarktservice Burgenland
AMS Burgenland,"7000 Eisenstadt, Permayerstr. 10",Bildungsmaßnahme - Qualifizierung,Bildungsmaßnahme: FiT RAMPE - Elektro- Elektronikberatung in Oberwart,36534.57,A,Arbeitsmarktservice Burgenland
AMS Burgenland,"7000 Eisenstadt, Permayerstr. 10",Bildungsmaßnahme - Qualifizierung,Bildungsmaßnahme: FiT - IT-Basisrampe in Eisenstadt,29116.54,A,Arbeitsmarktservice Burgenland
AMS Burgenland,"7000 Eisenstadt, Permayerstr. 10",Bildungsmaßnahme - Qualifizierung,Bildungsmaßnahme: Fachkräfteprogramm - Praxisbüro für Abgängerinnen von Fachschulen in Oberwart,49663.41,A,Arbeitsmarktservice Burgenland
AMS Burgenland,"7000 Eisenstadt, Permayerstr. 10",Bildungsmaßnahme - Qualifizierung,Bildungsmaßnahme: Praxisbüro für Wiedereinsteigerinnen in Oberwart,46714.49,A,Arbeitsmarktservice Burgenland
AMS Burgenland,"7000 Eisenstadt, Permayerstr. 10",Bildungsmaßnahme - Qualifizierung,Bildungsmaßnahme: Frauenberufszentrum in Oberpullendorf,34769.67,A,Arbeitsmarktservice Burgenland
AMS Burgenland,"7000 Eisenstadt, Permayerstr. 10",Bildungsmaßnahme - Qualifizierung,Bildungsmaßnahme: Frauenberufszentrum in Oberpullendorf (Verlängerung),43758.12,A,Arbeitsmarktservice Burgenland
AMS Burgenland,"7000 Eisenstadt, Permayerstr. 10",Bildungsmaßnahme - Qualifizierung,Bildungsmaßnahme: Zweite Chance - Nachholen des Lehrabschlusses(dupl),158713.99,A,Arbeitsmarktservice Burgenland
AMS Burgenland,"7000 Eisenstadt, Permayerstr. 10",Bildungsmaßnahme - Qualifizierung,Bildungsmaßnahme: FiT Rampe Energie-und Gebäudetechnik,69112.18,A,Arbeitsmarktservice Burgenland
AMS Burgenland,"7000 Eisenstadt, Permayerstr. 10",Bildungsmaßnahme - Qualifizierung,Bildungsmaßnahme: FIT FIA Installations- und Gebäudetechnik Zusatzqualifikation: Solar- und Wärmep,57134.55,A,Arbeitsmarktservice Burgenland
AMS Burgenland,"7000 Eisenstadt, Permayerstr. 10",Bildungsmaßnahme - Qualifizierung,Bildungsmaßnahme: Zweite Chance - Nachholen des Lehrabschlusses,111716.2,A,Arbeitsmarktservice Burgenland
AMS Burgenland,"7000 Eisenstadt, Permayerstr. 10",Bildungsmaßnahme - Qualifizierung,Bildungsmaßnahme: Frauenberufszentrum in Oberpullendorf,30423.78,A,Arbeitsmarktservice Burgenland
AMS Burgenland,"7000 Eisenstadt, Permayerstr. 10",Bildungsmaßnahme - Qualifizierung,Bildungsmaßnahme: FiT-FIA Auto/Kfz-Verkäuferin in Neusiedl/See,45834.96,A,Arbeitsmarktservice Burgenland
AMS Burgenland,"7000 Eisenstadt, Permayerstr. 10",Bildungsmaßnahme - Orientierung,Bildungsmaßnahme: Wiedereinstieg mit Zukunft + Nachbetreuung in Eisenstadt,55805.78,A,Arbeitsmarktservice Burgenland
AMS Burgenland,"7000 Eisenstadt, Permayerstr. 10",Bildungsmaßnahme - Qualifizierung,Bildungsmaßnahme: Zweite Chance - Nachholen des Lehrabschlusses,192282.19,A,Arbeitsmarktservice Burgenland
AMS Burgenland,"7000 Eisenstadt, Permayerstr. 10",Bildungsmaßnahme - Qualifizierung,Bildungsmaßnahme: Frauenberufszentrum in Oberpullendorf-Workshops,38235.19,A,Arbeitsmarktservice Burgenland
AMS Burgenland,"7000 Eisenstadt, Permayerstr. 10",Bildungsmaßnahme - Qualifizierung,Bildungsmaßnahme: Praxisbüro in Mattersburg,88287.14,A,Arbeitsmarktservice Burgenland
AMS Burgenland,"7000 Eisenstadt, Permayerstr. 10",Bildungsmaßnahme - Qualifizierung,Bildungsmaßnahme: FiT-technische Vorqualifizierung Betriebsdienstleistungskauffrau in Eisenstadt,60708.96,A,Arbeitsmarktservice Burgenland
AMS Burgenland,"7000 Eisenstadt, Permayerstr. 10",Bildungsmaßnahme - Qualifizierung,"Bildungsmaßnahme: FiT-FIA Heizungstechnik mit Zusatzmodul Steuerungs-und Regelungstechnik,AutoCAD",63726.25,A,Arbeitsmarktservice Burgenland
AMS Burgenland,"7000 Eisenstadt, Permayerstr. 10",Technische Hilfe,TH: ESf-Administration Burgenland 2007,28191.25,A,Arbeitsmarktservice Burgenland
AMS Burgenland,"7000 Eisenstadt, Permayerstr. 10",Technische Hilfe,TH: Technische Hilfe ESF-Administration Burgenland,146556,A,Arbeitsmarktservice Burgenland
AMS Burgenland,"7000 Eisenstadt, Permayerstr. 10",Technische Hilfe,TH: Technische Hilfe Arbeitsmarktservice Burgenland Burgenland 2010 - 2012,160122.04,A,Arbeitsmarktservice Burgenland
AMS Burgenland,"7000 Eisenstadt, Permayerstr. 10",Technische Hilfe,TH: Technische Hilfe Burgenland - Verbünde der WK 2011- 2012,42175.02,A,Arbeitsmarktservice Burgenland
AMS Burgenland,"7000 Eisenstadt, Permayerstr. 10",Technische Hilfe,TH: Technische Hilfe Burgenland - Verbünde der WK 2011- 2012 (Verlängerung),37856.4,A,Arbeitsmarktservice Burgenland
AMS Burgenland,"7000 Eisenstadt, Permayerstr. 10",Technische Hilfe,TH: Technische Hilfe Arbeitsmarktservice Burgenland Burgenland 2012 bis 2014,100486.59,A,Arbeitsmarktservice Burgenland
"Amt der Burgenländischen Landesregierung, Abteilung 6","7000 Eisenstadt, Europaplatz 1",Pflegehelfer/innenausbildung in Oberpullendorf,"Die Maßnahme umfasst die Ausbildung von PflegehelferInnen gemäß Pflegehelferverordnung BGBl. Nr. 372/1999. Ziel ist die Erlangung der staatlichen Anerkennung der Berufsbezeichnung ""PflegehelferIn"". Pflegehelfer sollen unter der Führung von diplomiertem Krankenpflegepersonal sowohl im stationären Akutbereich von Krankenanstalten, als auch in stationären Langzeitbereichen (z.B. Pflegeheimen) einsetzbar sein. Die Gesamtdauer der Maßnahmenstunden beträgt 800 Lehreinheiten theoretische und praktische Ausbildung, Exkursionen und Vorträge und 800 Lehreinheiten Praktikum.",85632.46,A,"Amt der Burgenländischen Landesregierung, Abteilung 6"
"Amt der Burgenländischen Landesregierung, Abteilung 6","7000 Eisenstadt, Europaplatz 1",Mehrwert Mehrsprachig in Oberpullendorf,"Ziel dieses Projektes ist die modulare Qualifizierung in den Sprachen Englisch, Ungarisch, Italienisch, Spanisch und Französisch mit ELL-Abschluss. Zielgruppe sind arbeitssuchende Frauen und Männer jeder Altersgruppe. Die Zuweisung zur Maßnahme soll ausschließlich durch das Arbeitsmarktservice Burgenland erfolgen.",101551.89,A,"Amt der Burgenländischen Landesregierung, Abteilung 6"
"Amt der Burgenländischen Landesregierung, Abteilung 6","7000 Eisenstadt, Europaplatz 1",Pflegehelfer/innenausbildung in Neusiedl am See,"Die Maßnahme umfasst die Ausbildung von PflegehelferInnen gemäß Pflegehelferverordnung BGBl. Nr. 372/1999. Ziel ist die Erlangung der staatlichen Anerkennung der Berufsbezeichnung ""PflegehelferIn"". Pflegehelfer sollen unter der Führung von diplomiertem Krankenpflegepersonal sowohl im stationären Akutbereich von Krankenanstalten, als auch in stationären Langzeitbereichen (z.B. Pflegeheimen) einsetzbar sein. Die Gesamtdauer der Lehreinheit beträgt 800 Unterrichtseinheiten theoretische und praktische Ausbildung und 800 Unterrichtseinheiten Praktikum.",80659.82,A,"Amt der Burgenländischen Landesregierung, Abteilung 6"
"Amt der Burgenländischen Landesregierung, Abteilung 6","7000 Eisenstadt, Europaplatz 1",Lehrwerkstätte Mitte/Nord,"Gegenstand des Projektes ist die Durchführung einer modularisierten Lehrausbildung in den Bereichen Metall/Elektro sowie Kommunikationstechnik. Zielgruppe sind Mädchen und Burschen ab dem vollendeten 15. Lebensjahr mit abgeschlossener Schulpflicht . Es sollen Ausbildungsplätze in 4 Durchgängen im Bereich Metall/Elektro und in 4 Durchgängen im Bereich Kommunikationstechnik zur Verfügung gestellt werden. Standorte sind die Bezirke Eisenstadt, Mattersburg und Oberpullendorf. Ausbildungsziel ist der Erwerb der Lehrabschlussprüfung in den beiden Bereichen.",3702854.27,A,"Amt der Burgenländischen Landesregierung, Abteilung 6"
"Amt der Burgenländischen Landesregierung, Abteilung 6","7000 Eisenstadt, Europaplatz 1",Flexibles EDV-Trainingscenter Oberwart,"Ziel der Maßnahme ist das Erlernen der Fähigkeiten und Fertigkeiten auf dem EDV Sektor, sowie das Ablegen von ECDL Modulprüfungen um einen ausbildungsadäquaten Arbeitsplatz zu erlangen. Inhaltliche Schwerpunkte sind Grundlagen der Informationstechnologie, Textverarbeitung, Tabellenkalkulation, Datenbanken, Präsentations- und Zeichenprogramme, Internet und Outlook und Bewerbungstraining.",98010.8,A,"Amt der Burgenländischen Landesregierung, Abteilung 6"
"Amt der Burgenländischen Landesregierung, Abteilung 6","7000 Eisenstadt, Europaplatz 1","""Medien-Office"" Übungsfirma von Frauen für Frauen","Zielgruppe sind arbeitssuchende Frauen (auch WiedereinsteigerInnen) aus allen Berufen, die eine Höherqualifizierung im IT-Bereich für eine langfristige Integration in den Arbeitsmarkt benötigen. Inhaltliche Schwerpunkte sind Layout und Webdesign, Marketing und Projektmanagement. Die Teilnehmerinnen sollen die OCG- Prüfung absolvieren und im Zuge einer Projektarbeit einen Werbeauftritt und die dazugehörigen Werbemittel",61608.57,A,"Amt der Burgenländischen Landesregierung, Abteilung 6"
"Amt der Burgenländischen Landesregierung, Abteilung 6","7000 Eisenstadt, Europaplatz 1",Praxisbüro in Güssing,"Zielgruppe sind arbeitsuchende Männer und Frauen, die bereits kaufmännisch tätig waren oder AbsolventInnen berufsbildender Schulen mit kaufmännischer Ausbildung oder AbsolventInnen diverser Vorbereitungskurse. Das Praxisbüro wird als Übungsfirma geführt und ist ein Modell eines tatsächlich bestehenden Unternehmens, um Abläufe in einem realen Wirtschaftsbetrieb nachzubilden. Das Ausbildungskonzept umfasst den Erwerb bzw. die Auffrischung von kaufmännischen Grundkenntnissen, die Vermittlung theoretischer Inhalte sowie das ""Trainieren"" von betrieblichen Abläufen. Weiters sollen die TeilnehmerInnen gestärkt und motiviert werden und eine (Wieder-) Eingliederung in den Arbeitsmarkt erfolgen.",349456.83,A,"Amt der Burgenländischen Landesregierung, Abteilung 6"
"Amt der Burgenländischen Landesregierung, Abteilung 6","7000 Eisenstadt, Europaplatz 1",JASG XI - Dialog,"Das Ziel der verschiedenen Maßnahmen im Rahmen des Jugendausbildungssicherungsgesetzes ist einerseits die Vermittlung von Fertigkeiten und Kenntnissen von mehreren Lehrberufen im 1. 2. und 3. Lehrjahr und andererseits die rasche Vermittlung auf einen Arbeitsplatz oder Lehrplatz. Unterstützt werden insbesondere Projekte, die auf den Beginn einer Berufsausbildung vorbereiten, wobei durch Berufsorientierung und Beratung das Berufsauswahlspektrum erweitert werden soll, sowie Ausbildungslehrgänge, in denen erste Fertigkeiten und Kenntnisse des Lehrberufs erworben werden können. Zielgruppe der Maßnahmen sind lehrstellen- bzw. arbeitssuchend gemeldete SchulabgängerInnen nach Abschluss der achten oder neunten Schulstufe, die eine Lehrausbildung anstreben, behinderte Jugendliche oder Jugendliche mit besonderen Vermittlungshemmnissen mit abgeschlossener Schulpflicht.",311156.3,A,"Amt der Burgenländischen Landesregierung, Abteilung 6"
