beneficiary,city
Kaposvár Megyei Jogú Város Önkormányzat,Kaposvár
Községi Önkormányzat Körösszakál,Körösszakál
Girincs és Kiscsécs községek Intézményfenntartó Társulása nevében Girincs Község Önkormányzata mint gesztor,"Kiscsécs, Girincs"
Tass község Önkormányzata,Tass
Ráckeresztúr Község Önkormányzata,Ráckeresztúr
Kurityán-Szuhafő-Zádorfalva települések Közoktatási Intézményfenntartó Társulása nevében Kurityán Község Önkormányzata mint gesztor,"Kurityán, Zádorfalva, Szuhafő"
Debrecen Megyei Jogú Város Önkormányzata Végrehajtó szerve: DMJV Polgármesteri Hivatal,Debrecen
Kozármisleny Intézményirányító Társulás nevében Kozármisleny Város Önkormányzata,Kozármisleny
Magyarbóly Község Önkormányzata,Magyarbóly
Fegyvernek-Örményes-Kuncsorba Intézményfenntartó Társulás nevében eljáró Fegyvernek Nagyközség Önkormányzata,"Fegyvernek, Örményes, Kuncsorba"
"Szalaszend Község és Fulókércs Község Önkormányzatainak Általános Iskolai Intézményfenntartó Társulása nevében Szalaszend Község Önkormányzata, mint gesztor","Szalaszend, Fulókércs"
Sajóvámos Község Önkormányzata,Sajóvámos
Közoktatási Intézményi Társulás Becsvölgye nevében eljáró  Becsvölgye Község Önkormányzata,Becsvölgye
Mezőfalva Nagyközség Önkormányzata,Mezőfalva
Duna-menti Közoktatási Társulás nevében eljáró Dunapataj Nagyközség Önkormányzata,Dunapataj
Földeák-Óföldeák Önkormányzatainak Általános Iskolai Intézményi Társulása nevében Földeák Község Önkormányzata,"Óföldeák, Földeák"
Szécsény-Nagylóc-Nógrádszakál Intézményfenntartó Társulás nevében eljáró Szécsény Város Önkormányzata gesztor önkormányzat,"Szécsény, Nógrádszakál, Nagylóc"
Intézményi Társulás nevében eljáró gesztor Nagyvarsány Község Önkormányzata,Nagyvarsány
ÖKÖRITÓFÜLPÖS NAGYKÖZSÉG ÖNKORMÁNYZATA,Ököritófülpös
Ágfalva Község Önkormányzata,Ágfalva
Nyírparasznya Község Önkormányzata,Nyírparasznya
Fertőboz-Nagycenk Intézményfenntartó Társulása nevében eljáró Nagycenk Nagyközség Önkormányzata,"Nagycenk, Fertőboz"
Budapest Főváros XIX kerület  Kispest Önkormányzata,Budapest
Felsőtárkány Község Önkormányzata,Felsőtárkány
Kántorjánosi Község Önkormányzata,Kántorjánosi
Várdomb és Alsónána Önkormányzatok Intézményi Társulása nevében Várdomb Község Önkormányzata,"Várdomb, Alsónána"
"Ráday Pál Közoktatási és Közművelődési Közös Fenntartású Intézmény Társulás nevében eljáró Harta Nagyközség Önkormányzat, mint gesztor",Harta
"Berettyóújfalu és Bakonszeg Önkormányzatok Közoktatási Társulása, Berettyóújfalu és Mezőpeterd Önkormányzatok Közoktatási Társulása nevében Berettyóújfalu Város Önkormányzata  mint gesztor","Bakonszeg, Berettyóújfalu, Mezőpeterd"
Álmosd Község Önkormányzata,Álmosd
Kapuvár Város Önkormányzata,Kapuvár
